Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
9.3,0,0.016047301,0,249.8092,1999,2,2,1,3735.138
5.92,1,0.019278216,1,48.2692,2009,2,0,2,443.4228
17.5,0,0.016760075,0,141.618,1999,2,2,1,2097.27
19.2,1,0.0,0,182.095,1998,3,0,0,732.38
8.93,0,0.0,1,53.8614,1987,1,0,1,994.7052
10.395,1,0.0,1,51.4008,2009,2,0,2,556.6088
13.65,1,0.012741088999999999,1,57.6588,1987,1,0,1,343.5528
12.6,0,0.127469857,1,107.7622,1985,2,0,3,4022.7636
16.2,1,0.016687114,1,96.9726,2002,3,1,1,1076.5986
19.2,1,0.09444959,1,187.8214,2007,3,1,1,4710.535
11.8,0,0.0,0,45.5402,1999,2,2,1,1516.0266
18.5,1,0.045463773,0,144.1102,1997,0,2,1,2187.153
15.1,1,0.1000135,0,145.4786,1999,2,2,1,1589.2646
17.6,1,0.047257328,1,119.6782,1997,0,2,1,2145.2076
16.35,0,0.06802430000000001,0,196.4426,1987,1,0,1,1977.4260000000002
9.0,1,0.06908896099999999,0,56.3614,1997,0,2,1,1547.3192
11.8,0,0.008596051,1,115.3492,2009,2,0,2,1621.8888
9.0,1,0.06919637599999999,0,54.3614,1999,2,2,1,718.3982
12.6,0,0.034237682,1,113.2834,1985,2,0,3,2303.6679999999997
13.35,0,0.10249212,0,230.5352,2004,0,1,1,2748.4224
18.85,1,0.138190277,1,250.8724,1987,1,0,1,3775.086
12.6,1,0.035399923,1,144.5444,1985,2,0,3,4064.0432
14.6,0,0.025698133999999997,1,196.5084,2004,0,1,1,1587.2672
12.6,0,0.057556998,1,107.6938,1985,0,2,0,214.3876
13.85,1,0.025896485,1,165.021,1997,0,2,1,4078.025
13.0,0,0.099887103,1,45.906000000000006,2007,3,1,1,838.908
7.645,1,0.06669343700000001,1,42.3112,2004,0,1,1,1065.28
11.65,0,0.019356131999999998,1,39.1164,1987,1,0,1,308.9312
5.925,1,0.161466534,0,45.5086,1998,3,0,0,178.4344
12.6,1,0.072221801,1,43.6454,1985,0,2,0,125.8362
19.25,0,0.17034855100000001,0,55.7956,1998,3,0,0,163.7868
